product_category_name,product_category_name_english
beleza saude,health beauty
informatica acessorios,computers accessories
automotivo,auto
cama mesa banho,bed bath table
moveis decoracao,furniture decor
esporte lazer,sports leisure
perfumaria,perfumery
utilidades domesticas,housewares
telefonia,telephony
relogios presentes,watches gifts
alimentos bebidas,food drink
bebes,baby
papelaria,stationery
tablets impressao imagem,tablets printing image
brinquedos,toys
telefonia fixa,fixed telephony
ferramentas jardim,garden tools
fashion bolsas e acessorios,fashion bags accessories
eletroportateis,small appliances
consoles games,consoles games
audio,audio
fashion calcados,fashion shoes
cool stuff,cool stuff
malas acessorios,luggage accessories
climatizacao,air conditioning
construcao ferramentas construcao,construction tools construction
moveis cozinha area de servico jantar e jardim,kitchen dining laundry garden furniture
construcao ferramentas jardim,costruction tools garden
fashion roupa masculina,fashion male clothing
pet shop,pet shop
moveis escritorio,office furniture
market place,market place
eletronicos,electronics
eletrodomesticos,home appliances
artigos de festas,party supplies
casa conforto,home confort
construcao ferramentas ferramentas,costruction tools tools
agro industria e comercio,agro industry and commerce
moveis colchao e estofado,furniture mattress and upholstery
livros tecnicos,books technical
casa construcao,home construction
instrumentos musicais,musical instruments
moveis sala,furniture living room
construcao ferramentas iluminacao,construction tools lights
industria comercio e negocios,industry commerce and business
alimentos,food
artes,art
moveis quarto,furniture bedroom
livros interesse geral,books general interest
construcao ferramentas seguranca,construction tools safety
fashion underwear e moda praia,fashion underwear beach
fashion esporte,fashion sport
sinalizacao e seguranca,signaling and security
pcs,computers
artigos de natal,christmas supplies
fashion roupa feminina,fashio female clothing
eletrodomesticos 2,home appliances 2
livros importados,books imported
bebidas,drinks
cine foto,cine photo
la cuisine,la cuisine
musica,music
casa conforto 2,home comfort 2
portateis casa forno e cafe,small appliances home oven and coffee
cds dvds musicais,cds dvds musicals
dvds blu ray,dvds blu ray
flores,flowers
artes e artesanato,arts and craftmanship
fraldas higiene,diapers and hygiene
fashion roupa infanto juvenil,fashion childrens clothes
seguros e servicos,security and services
pc gamer,pc gamer
portateis cozinha e preparadores de alimentos,kitchen and food preparation racks
